image_id,dx,resolution
1,nv,224*224
2,nv,224*224
3,nv,224*224
4,mel,224*224
5,mel,224*224
6,mel,224*224
7,nv,224*224
8,vasc,224*224
9,vasc,224*224
10,nv,224*224
11,nv,224*224
12,vasc,224*224
13,mel,224*224
14,nv,224*224
15,vasc,224*224
16,vasc,224*224
17,nv,224*224
18,mel,224*224
19,nv,224*224
20,nv,224*224
21,mel,224*224
22,nv,224*224
23,mel,224*224
24,nv,224*224
25,nv,224*224
26,nv,224*224
27,nv,224*224
28,nv,224*224
29,mel,224*224
30,mel,224*224
31,nv,224*224
32,nv,224*224
33,nv,224*224
34,nv,224*224
35,mel,224*224
36,mel,224*224
37,mel,224*224
38,mel,224*224
39,mel,224*224
40,nv,224*224
41,nv,224*224
42,vasc,224*224
43,nv,224*224
44,nv,224*224
45,mel,224*224
46,vasc,224*224
47,nv,224*224
48,nv,224*224
49,mel,224*224
50,nv,224*224
51,mel,224*224
52,vasc,224*224
53,nv,224*224
54,mel,224*224
55,mel,224*224
56,nv,224*224
57,mel,224*224
58,nv,224*224
59,vasc,224*224
60,nv,224*224
61,mel,224*224
62,nv,224*224
63,nv,224*224
64,nv,224*224
65,nv,224*224
66,mel,224*224
67,nv,224*224
68,vasc,224*224
69,nv,224*224
70,mel,224*224
71,nv,224*224
72,mel,224*224
73,mel,224*224
74,nv,224*224
75,mel,224*224
76,mel,224*224
77,nv,224*224
78,mel,224*224
79,mel,224*224
80,mel,224*224
81,nv,224*224
82,nv,224*224
83,nv,224*224
84,vasc,224*224
85,vasc,224*224
86,nv,224*224
87,mel,224*224
88,nv,224*224
89,vasc,224*224
90,nv,224*224
91,nv,224*224
92,mel,224*224
93,mel,224*224
94,nv,224*224
95,nv,224*224
96,vasc,224*224
97,mel,224*224
98,nv,224*224
99,nv,224*224
100,mel,224*224
101,nv,224*224
102,nv,224*224
103,mel,224*224
104,mel,224*224
105,mel,224*224
106,mel,224*224
107,nv,224*224
108,nv,224*224
109,mel,224*224
110,mel,224*224
111,mel,224*224
112,nv,224*224
113,vasc,224*224
114,mel,224*224
115,nv,224*224
116,mel,224*224
117,nv,224*224
118,nv,224*224
119,mel,224*224
120,nv,224*224
121,nv,224*224
122,mel,224*224
123,mel,224*224
124,mel,224*224
125,nv,224*224
126,nv,224*224
127,vasc,224*224
128,mel,224*224
129,nv,224*224
130,nv,224*224
131,mel,224*224
132,nv,224*224
133,nv,224*224
134,mel,224*224
135,nv,224*224
136,mel,224*224
137,nv,224*224
138,mel,224*224
139,nv,224*224
140,mel,224*224
141,vasc,224*224
142,vasc,224*224
143,vasc,224*224
144,nv,224*224
145,nv,224*224
146,nv,224*224
147,nv,224*224
148,mel,224*224
149,nv,224*224
150,nv,224*224
151,vasc,224*224
152,vasc,224*224
153,nv,224*224
154,nv,224*224
155,nv,224*224
156,nv,224*224
157,vasc,224*224
158,mel,224*224
159,nv,224*224
160,nv,224*224
161,vasc,224*224
162,mel,224*224
163,mel,224*224
164,vasc,224*224
165,nv,224*224
